井号,年 月,层 位,有效厚度,生产天数,动液面(m),月产液,月产油(t),月产水(m3),累产油(10^4t),累产水(10^4m3)
6号井,200501,S2F2-S2F3,,30.19,,668,59,609,1.7986,3.2579
6号井,200502,S2F2-S2F3,,5,,76,7,69,1.7993,3.2648
6号井,200503,S2F2-S2F3,,,,0,,,1.7993,3.2648
6号井,200504,S2F2-S2F3,,10.16,,465,34,431,1.8027,3.3079
6号井,200505,S2F2-S2F3,,30.21,1490,1365,130,1235,1.8157,3.4314
6号井,200506,S2F2-S2F3,,29.21,1366,1318,119,1199,1.8276,3.5513
6号井,200507,S2F2-S2F3,,30.21,,1422,82,1340,1.8358,3.6853
6号井,200508,S2F2-S2F3,,4.18,,211,7,204,1.8365,3.7057
6号井,200509,S2F2-S2F3,,21.05,1284,945,31,914,1.8396,3.7971
6号井,200510,S2F2-S2F3,,30.15,1718,1345,71,1274,1.8467,3.9245
6号井,200511,S2F2-S2F3,,29.21,1654,1370,91,1279,1.8558,4.0524
6号井,200512,S2F2-S2F3,,19.09,1423,887,61,826,1.8619,4.135
6号井,200601,S2F2-S2F3,,7.17,,382,,382,1.8619,4.1732
6号井,200602,S2F2-S2F3,,27.22,,1196,28,1168,1.8647,4.29
6号井,200603,S2F2-S2F3,,1.02,,41,1,40,1.8648,4.294
6号井,200604,S2F2-S2F3,,,,0,,,1.8648,4.294
6号井,200605,S2F2-S2F3,,,,0,,,1.8648,4.294
6号井,200606,S2F2-S2F3,,,,0,,,1.8648,4.294
6号井,200607,S2F2-S2F3,,,,0,,,1.8648,4.294
6号井,200608,S2F2-S2F3,,,,0,,,1.8648,4.294
6号井,200609,S2F2-S2F3,,16.08,,490,0,490,1.8648,4.343
6号井,200610,S2F2-S2F3,,30.22,,476,12,464,1.866,4.3894
6号井,200611,S2F2-S2F3,,28.22,,337,10,327,1.867,4.4221
6号井,200612,S2F2-S2F3,,30.22,1152,313,9,304,1.8679,4.4525
6号井,200701,S2F2-S2F3,,29,,283,8,275,1.8687,4.48
6号井,200702,S2F2-S2F3,,,,0,,,1.8687,4.48
6号井,200703,S2F2-S2F3,,1.03,,4,0,4,1.8687,4.4804
6号井,200704,S2F2-S2F3,,,,0,,,1.8687,4.4804
6号井,200705,S2F2-S2F3,,,,0,,,1.8687,4.4804
6号井,200706,S2F2-S2F3,,,,0,,,1.8687,4.4804
6号井,200707,S2F2-S2F3,,,,0,,,1.8687,4.4804
6号井,200708,S2F2-S2F3,,,,0,,,1.8687,4.4804
6号井,200709,S2F2-S2F3,,21.1,,273,0,273,1.8687,4.5077
6号井,200710,S2F2-S2F3,,30.22,,261,4,257,1.8691,4.5334
6号井,200711,S2F2-S2F3,,29.22,,144,4,140,1.8695,4.5474
6号井,200712,S2F2-S2F3,,30.22,1567,132,3,129,1.8698,4.5603
6号井,200801,S2F2-S2F3,,25.03,,114,3,111,1.8701,4.5714
6号井,200802,S2F2-S2F3,,18.08,,75,0,75,1.8701,4.5789
6号井,200803,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200804,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200805,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200806,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200807,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200808,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200809,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200810,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200811,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200812,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200901,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200902,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200903,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200904,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200905,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200906,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200907,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200908,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200909,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200910,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200911,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,200912,S2F2-S2F3,,,,0,,,1.8701,4.5789
6号井,201001,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201002,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201003,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201004,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201005,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201006,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201007,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201008,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201009,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201010,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201011,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201012,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201101,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201102,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201103,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201104,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201105,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201106,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201107,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201108,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201109,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201110,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201111,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201112,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201201,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201202,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201203,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201204,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201205,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201206,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201207,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201208,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201209,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201210,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201211,S2F2-S2F3,0,,,0,,,1.8701,4.5789
6号井,201212,S2F2-S2F3,0,0.11,,8,0,8,1.8701,4.5797
6号井,201301,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201302,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201303,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201304,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201305,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201306,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201307,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201308,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201309,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201310,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201311,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201312,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201401,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201402,S2F2-S2F3,0,,,0,,,1.8701,4.5797
6号井,201403,S2F3-S2F3,9.4,24.18,827,382,23,359,1.8724,4.6156
6号井,201404,S2F3-S2F3,9.4,29.22,803,477,86,391,1.881,4.6547
6号井,201405,S2F3-S2F3,9.4,30.21,752,496,29,467,1.8839,4.7014
6号井,201406,S2F3-S2F3,9.4,29.15,742,474,23,451,1.8862,4.7465
6号井,201407,S2F3-S2F3,9.4,30.2,784,492,20,472,1.8882,4.7937
6号井,201408,S2F3-S2F3,9.4,30.19,785,490,17,473,1.8899,4.841
6号井,201409,S2F3-S2F3,9.4,29.22,832,478,18,460,1.8917,4.887
6号井,201410,S2F3-S2F3,9.4,30.22,837,496,19,477,1.8936,4.9347
6号井,201411,S2F3-S2F3,9.4,29.22,838,487,17,470,1.8953,4.9817
6号井,201412,S2F3-S2F3,9.4,30.22,740,551,15,536,1.8968,5.0353
6号井,201501,S2F3-S2F3,9.4,30.22,726,505,9,496,1.8978,5.0885
6号井,201502,S2F3-S2F3,9.4,27.22,730,455,7,448,1.8985,5.1333
6号井,201503,S2F3-S2F3,9.4,27.1,681,445,6,439,1.8991,5.1772
6号井,201504,S2F3-S2F3,9.4,29.22,678,482,5,477,1.8996,5.2249
6号井,201505,S2F3-S2F3,9.4,30.22,665,505,7,498,1.9003,5.2747
6号井,201506,S2F3-S2F3,9.4,29.16,537,487,7,480,1.901,5.3227
6号井,201507,S2F3-S2F3,9.4,30.22,511,509,9,500,1.9019,5.3727
6号井,201508,S2F3-S2F3,9.4,30.19,501,506,9,497,1.9028,5.4224
6号井,201509,S2F3-S2F3,9.4,29.22,529,490,10,480,1.9038,5.4704
6号井,201510,S2F3-S2F3,9.4,30.22,514,507,10,497,1.9048,5.5201
6号井,201511,S2F3-S2F3,9.4,29.22,519,490,9,481,1.9057,5.5682
6号井,201512,S2F3-S2F3,9.4,30.19,522,504,9,495,1.9066,5.6177
6号井,201601,S2F3-S2F3,9.4,27.17,493,454,6,448,1.9072,5.6625
6号井,201602,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201603,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201604,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201605,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201606,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201607,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201608,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201609,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201610,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201611,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201612,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201701,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201702,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201703,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201704,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201705,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201706,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201707,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201708,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201709,S2F3-S2F3,9.4,,,0,,,1.9072,5.6625
6号井,201710,S2F2-S2F2,10.5,12.13,1659,184,0,184,1.9072,5.6809
6号井,201711,S2F2-S2F2,10.5,29.17,1688,594,8,586,1.908,5.7395
6号井,201712,S2F2-S2F2,10.5,31,,494,21,473,1.9101,5.7868
6号井,201801,S2F2-S2F2,10.5,31,,408,39,369,1.914,5.8237
6号井,201802,S2F2-S2F2,10.5,28,,326,31,295,1.9171,5.8532
6号井,201803,S2F2-S2F2,10.5,28.12,,353,38,315,1.9209,5.8847
6号井,201804,S2F2-S2F2,10.5,20.2,,284,54,230,1.9263,5.9077
6号井,201805,S2F2-S2F2,10.5,30.23,,393,74,319,1.9337,5.9396
6号井,201806,S2F2-S2F2,10.5,27.19,,328,69,259,1.9406,5.9655
6号井,201807,S2F2-S2F2,10.5,26.09,,316,48,268,1.9454,5.9923
6号井,201808,S2F2-S2F2,10.5,9.17,,115,14,101,1.9468,6.0024
6号井,201809,S2F2-S2F2,10.5,30,1328,343,36,307,1.9504,6.0331
6号井,201810,S2F2-S2F2,10.5,30.23,1259,342,97,245,1.9601,6.0576
6号井,201811,S2F2-S2F2,10.5,29.11,1397,321,94,227,1.9695,6.0803
6号井,201812,S2F2-S2F2,10.5,31,1402,338,88,250,1.9783,6.1053
6号井,201901,S2F2-S2F2,10.5,26.17,1347,281,65,216,1.9848,6.1269
6号井,201902,S2F2-S2F2,10.5,16.2,1443,187,29,158,1.9877,6.1427
6号井,201903,S2F2-S2F2,10.5,31,1469,337,63,274,1.994,6.1701
6号井,201904,S2F2-S2F2,10.5,30,1479,325,61,264,2.0001,6.1965
6号井,201905,S2F2-S2F2,10.5,30.23,1457,334,63,271,2.0064,6.2236
6号井,201906,S2F2-S2F2,10.5,30,1476,321,61,260,2.0125,6.2496
6号井,201907,S2F2-S2F2,10.5,31,1461,329,67,262,2.0192,6.2758
6号井,201908,S2F2-S2F2,10.5,27.16,1499,291,56,235,2.0248,6.2993
6号井,201909,S2F2-S2F2,10.5,26.2,1282,281,30,251,2.0278,6.3244
6号井,201910,S2F2-S2F2,10.5,30.22,1458,311,65,246,2.0343,6.349
6号井,201911,S2F2-S2F2,10.5,29.14,1405,301,63,238,2.0406,6.3728
6号井,201912,S2F2-S2F2,10.5,31,1386,311,59,252,2.0465,6.398
6号井,202001,S2F2-S2F2,10.5,30.23,1401,326,55,271,2.052,6.4251
6号井,202002,S2F2-S2F2,10.5,29,1318,313,52,261,2.0572,6.4512
6号井,202003,S2F2-S2F2,10.5,30.23,1324,321,50,271,2.0622,6.4783
6号井,202004,S2F2-S2F2,10.5,27.05,1277,370,39,331,2.0661,6.5114
6号井,202005,S2F2-S2F2,10.5,6.13,1280,69,4,65,2.0665,6.5179
6号井,202006,S2F2-S2F2,10.5,,,0,,,2.0665,6.5179
6号井,202007,S2F2-S2F2,10.5,23.12,1375,314,36,278,2.0701,6.5457
6号井,202008,S2F2-S2F2,10.5,31,1542,402,72,330,2.0773,6.5787
6号井,202009,S2F2-S2F2,10.5,30,1621,392,69,323,2.0842,6.611
6号井,202010,S2F2-S2F2,10.5,30.22,1213,414,76,338,2.0918,6.6448
6号井,202011,S2F2-S2F2,10.5,30,1170,418,68,350,2.0986,6.6798
6号井,202012,S2F2-S2F2,10.5,29.16,1690,413,48,365,2.1034,6.7163
6号井,202101,S2F2-S2F2,10.5,30.22,1881,428,69,359,2.1103,6.7522
6号井,202102,S2F2-S2F2,10.5,28,1912,400,50,350,2.1153,6.7872
6号井,202103,S2F2-S2F2,10.5,29.05,1406,435,40,395,2.1193,6.8267
6号井,202104,S2F2-S2F2,10.5,19.07,1475,297,7,290,2.12,6.8557
6号井,202105,S2F2-S2F2,10.5,31,1823,496,36,460,2.1236,6.9017
6号井,202106,S2F2-S2F2,10.5,29.12,1824,464,53,411,2.1289,6.9428
6号井,202107,S2F2-S2F2,10.5,30.22,1825,475,78,397,2.1367,6.9825
6号井,202108,S2F2-S2F2,10.5,30.15,1415,476,23,453,2.139,7.0278
6号井,202109,S2F2-S2F2,10.5,19.17,1391,324,25,299,2.1415,7.0577
6号井,202110,S2F2-S2F2,10.5,25.2,1696,385,32,353,2.1447,7.093
6号井,202111,S2F2-S2F2,10.5,30,1775,401,46,355,2.1493,7.1285
6号井,202112,S2F2-S2F2,10.5,31,1760,428,42,386,2.1535,7.1671
7号井,200108,S2F2-S2F2,13.5,12.03,,193,123,70,0.0123,0.007
7号井,200109,S2F2-S2F2,13.5,27.01,1175,335,161,174,0.0284,0.0244
7号井,200110,S2F2-S2F2,13.5,,,0,,,0.0284,0.0244
8号井,200108,S2F2-S2F2,10.9,27.02,,145,40,105,0.004,0.0105
8号井,200109,S2F2-S2F2,10.9,9.21,,45,27,18,0.0067,0.0123
9号井,200112,S2F2-S2F2,5.2,9.2,,108,86,22,0.0086,0.0022
9号井,200201,S2F2-S2F2,5.2,30.13,1835,379,377,2,0.0463,0.0024
9号井,200202,S2F2-S2F2,5.2,25.09,,391,330,61,0.0793,0.0085
9号井,200203,S2F2-S2F2,5.2,30.21,1356,433,433,,0.1226,0.0085
9号井,200204,S2F2-S2F2,5.2,29.17,1473,539,539,,0.1765,0.0085
9号井,200205,S2F2-S2F2,5.2,30.19,,694,694,,0.2459,0.0085
9号井,200206,S2F2-S2F2,5.2,21.02,1383,474,474,,0.2933,0.0085
9号井,200304,S2F2-S2F2,12,29.06,1195,530,310,220,0.031,0.022
9号井,200305,S2F2-S2F2,12,30.21,1106,545,496,49,0.0806,0.0269
9号井,200306,S2F2-S2F2,12,29.18,1656,652,589,63,0.1395,0.0332
9号井,200307,S2F2-S2F2,12,30.21,1670,677,602,75,0.1997,0.0407
9号井,200308,S2F2-S2F2,12,30.21,1105,679,608,71,0.2605,0.0478
9号井,200309,S2F2-S2F2,12,29.21,1100,685,641,44,0.3246,0.0522
9号井,200310,S2F2-S2F2,12,30.13,1009,709,688,21,0.3934,0.0543
9号井,200311,S2F2-S2F2,12,29.18,996,713,687,26,0.4621,0.0569
9号井,200312,S2F2-S2F2,12,30.21,1014,758,736,22,0.5357,0.0591
9号井,200401,S2F2-S2F2,12,30.14,951,785,774,11,0.6131,0.0602
9号井,200402,S2F2-S2F2,12,27.01,,705,697,8,0.6828,0.061
9号井,200403,S2F2-S2F2,12,30.21,981,875,861,14,0.7689,0.0624
9号井,200404,S2F2-S2F2,12,29.21,,812,802,10,0.8491,0.0634
9号井,200405,S2F2-S2F2,12,30.21,,824,823,1,0.9314,0.0635
9号井,200406,S2F2-S2F2,12,29.14,982,763,763,,1.0077,0.0635
9号井,200407,S2F2-S2F2,12,0.08,,7,7,,1.0084,0.0635
9号井,200408,S2F2-S2F2,12,,,0,,,1.0084,0.0635
9号井,200409,S2F2-S2F2,12,,,0,,,1.0084,0.0635
9号井,200410,S2F2-S2F2,12,2.09,,18,,18,1.0084,0.0653
9号井,200411,S2F2-S2F2,12,18.11,,477,329,148,1.0413,0.0801
9号井,200412,S2F2-S2F2,12,30.21,,901,660,241,1.1073,0.1042
9号井,200501,S2F2-S2F2,12,30.21,,1169,936,233,1.2009,0.1275
9号井,200502,S2F2-S2F2,12,27.21,,1105,873,232,1.2882,0.1507
9号井,200503,S2F2-S2F2,12,30.21,,1243,970,273,1.3852,0.178
9号井,200504,S2F2-S2F2,12,29.17,,1245,969,276,1.4821,0.2056
9号井,200505,S2F2-S2F2,12,30.17,,1365,997,368,1.5818,0.2424
9号井,200506,S2F2-S2F2,12,27.03,850,2086,1450,636,1.7268,0.306
9号井,200507,S2F2-S2F2,12,30.2,907,3376,2246,1130,1.9514,0.419
9号井,200508,S2F2-S2F2,12,30.17,833,3929,2373,1556,2.1887,0.5746
9号井,200509,S2F2-S2F2,12,29.22,892,3770,2111,1659,2.3998,0.7405
9号井,200510,S2F2-S2F2,12,31,1012,3863,2131,1732,2.6129,0.9137
9号井,200511,S2F2-S2F2,12,30,923,3735,1927,1808,2.8056,1.0945
9号井,200512,S2F2-S2F2,12,31,950,3481,1703,1778,2.9759,1.2723
9号井,200601,S2F2-S2F2,12,30.16,1025,3309,1456,1853,3.1215,1.4576
9号井,200602,S2F2-S2F2,12,28,1000,2962,1076,1886,3.2291,1.6462
9号井,200603,S2F2-S2F2,12,31,1016,2998,1076,1922,3.3367,1.8384
9号井,200604,S2F2-S2F2,12,30,998,2823,1011,1812,3.4378,2.0196
9号井,200605,S2F2-S2F2,12,30.21,1066,2961,958,2003,3.5336,2.2199
9号井,200606,S2F2-S2F2,12,30,,2886,850,2036,3.6186,2.4235
9号井,200607,S2F2-S2F2,12,30.22,1064,3041,977,2064,3.7163,2.6299
9号井,200608,S2F2-S2F2,12,30.19,1052,3061,1066,1995,3.8229,2.8294
9号井,200609,S2F2-S2F2,12,30,1009,3031,1074,1957,3.9303,3.0251
9号井,200610,S2F2-S2F2,12,31,1065,3047,1112,1935,4.0415,3.2186
9号井,200611,S2F2-S2F2,12,30,,3036,1114,1922,4.1529,3.4108
9号井,200612,S2F2-S2F2,12,31,1016,3237,1222,2015,4.2751,3.6123
9号井,200701,S2F2-S2F2,12,31,982,3445,1529,1916,4.428,3.8039
9号井,200702,S2F2-S2F2,12,28,1010,3131,1408,1723,4.5688,3.9762
9号井,200703,S2F2-S2F2,12,31,1005,3372,1409,1963,4.7097,4.1725
9号井,200704,S2F2-S2F2,12,30,968,3162,1271,1891,4.8368,4.3616
9号井,200705,S2F2-S2F2,12,30.22,,3303,1184,2119,4.9552,4.5735
9号井,200706,S2F2-S2F2,12,30,1027,2988,1064,1924,5.0616,4.7659
9号井,200707,S2F2-S2F2,12,29.08,1350,3242,1032,2210,5.1648,4.9869
9号井,200708,S2F2-S2F2,12,30.22,713,8813,1994,6819,5.3642,5.6688
9号井,200709,S2F2-S2F2,12,30,414,8386,1783,6603,5.5425,6.3291
9号井,200710,S2F2-S2F2,12,30.21,460,8481,1893,6588,5.7318,6.9879
9号井,200711,S2F2-S2F2,12,30,653,8299,1810,6489,5.9128,7.6368
9号井,200712,S2F2-S2F2,12,31,800,8371,1629,6742,6.0757,8.311
9号井,200801,S2F2-S2F2,12,30.11,1185,8176,1445,6731,6.2202,8.9841
9号井,200802,S2F2-S2F2,12,29,,7537,1233,6304,6.3435,9.6145
9号井,200803,S2F2-S2F2,12,31,282,8782,1169,7613,6.4604,10.3758
9号井,200804,S2F2-S2F2,12,29.09,1089,8359,1191,7168,6.5795,11.0926
9号井,200805,S2F2-S2F2,12,30.19,,8960,1285,7675,6.708,11.8601
9号井,200806,S2F2-S2F2,12,27.02,1248,7865,1034,6831,6.8114,12.5432
9号井,200807,S2F2-S2F2,12,30.21,787,8897,1131,7766,6.9245,13.3198
9号井,200808,S2F2-S2F2,12,31,730,8686,1259,7427,7.0504,14.0625
9号井,200809,S2F2-S2F2,12,30,,8303,1183,7120,7.1687,14.7745
9号井,200810,S2F2-S2F2,12,30.17,,8445,1070,7375,7.2757,15.512
9号井,200811,S2F2-S2F2,12,30,,8319,1027,7292,7.3784,16.2412
9号井,200812,S2F2-S2F2,12,31,,8869,1197,7672,7.4981,17.0084
9号井,200901,S2F2-S2F2,12,31,,8536,1259,7277,7.624,17.7361
9号井,200902,S2F2-S2F2,12,28,,7675,967,6708,7.7207,18.4069
9号井,200903,S2F2-S2F2,12,30.05,,7969,798,7171,7.8005,19.124
9号井,200904,S2F2-S2F2,12,30,,8207,756,7451,7.8761,19.8691
9号井,200905,S2F2-S2F2,12,31,,8716,930,7786,7.9691,20.6477
9号井,200906,S2F2-S2F2,12,29.22,,8328,930,7398,8.0621,21.3875
9号井,200907,S2F2-S2F2,12,30.18,,8605,940,7665,8.1561,22.154
9号井,200908,S2F2-S2F2,12,31,,8500,903,7597,8.2464,22.9137
9号井,200909,S2F2-S2F2,12,30,,8294,844,7450,8.3308,23.6587
9号井,200910,S2F2-S2F2,12,28.18,1024,7500,706,6794,8.4014,24.3381
9号井,200911,S2F2-S2F2,12,30,,8336,275,8061,8.4289,25.1442
9号井,200912,S2F2-S2F2,12,25.12,953,7016,227,6789,8.4516,25.8231
9号井,201001,S2F2-S2F2,12,31,1055,8589,291,8298,8.4807,26.6529
9号井,201002,S2F2-S2F2,12,28,1010,7811,266,7545,8.5073,27.4074
9号井,201003,S2F2-S2F2,12,30.09,1047,8676,295,8381,8.5368,28.2455
9号井,201004,S2F2-S2F2,12,30,1080,8332,273,8059,8.5641,29.0514
9号井,201005,S2F2-S2F2,12,30.13,1021,8609,244,8365,8.5885,29.8879
9号井,201006,S2F2-S2F2,12,29.22,1002,8545,226,8319,8.6111,30.7198
9号井,201007,S2F2-S2F2,12,30.15,1014,8323,185,8138,8.6296,31.5336
9号井,201008,S2F2-S2F2,12,30.17,1075,8191,168,8023,8.6464,32.3359
9号井,201009,S2F2-S2F2,12,29.22,1028,8031,169,7862,8.6633,33.1221
9号井,201010,S2F2-S2F2,12,27.03,1074,7101,129,6972,8.6762,33.8193
9号井,201011,S2F2-S2F2,12,29.21,1053,8183,151,8032,8.6913,34.6225
9号井,201012,S2F2-S2F2,12,30.22,1123,8464,163,8301,8.7076,35.4526
9号井,201101,S2F2-S2F2,12,30.06,1116,8149,154,7995,8.723,36.2521
9号井,201102,S2F2-S2F2,12,28,1079,7786,163,7623,8.7393,37.0144
9号井,201103,S2F2-S2F2,12,31,1161,8801,248,8553,8.7641,37.8697
9号井,201104,S2F2-S2F2,12,27,1270,7564,202,7362,8.7843,38.6059
9号井,201105,S2F2-S2F2,12,31,1323,8766,214,8552,8.8057,39.4611
9号井,201106,S2F2-S2F2,12,29.22,1232,8537,244,8293,8.8301,40.2904
9号井,201107,S2F2-S2F2,12,30.17,1207,8847,274,8573,8.8575,41.1477
9号井,201108,S2F2-S2F2,12,31,1193,8832,286,8546,8.8861,42.0023
9号井,201109,S2F2-S2F2,12,29.2,1198,8617,285,8332,8.9146,42.8355
9号井,201110,S2F2-S2F2,12,30.14,1223,8725,259,8466,8.9405,43.6821
9号井,201111,S2F2-S2F2,12,29.12,1222,8334,256,8078,8.9661,44.4899
9号井,201112,S2F2-S2F2,12,31,1203,8720,309,8411,8.997,45.331
9号井,201201,S2F2-S2F2,12,31,1236,8686,309,8377,9.0279,46.1687
9号井,201202,S2F2-S2F2,12,29,1265,7853,319,7534,9.0598,46.9221
9号井,201203,S2F2-S2F2,12,30.22,1292,8497,411,8086,9.1009,47.7307
9号井,201204,S2F2-S2F2,12,29.15,1257,8280,406,7874,9.1415,48.5181
9号井,201205,S2F2-S2F2,12,31,1255,8672,372,8300,9.1787,49.3481
9号井,201206,S2F2-S2F2,12,30,1092,8449,331,8118,9.2118,50.1599
9号井,201207,S2F2-S2F2,12,30.18,1073,8641,327,8314,9.2445,50.9913
9号井,201208,S2F2-S2F2,12,30.16,1083,8609,359,8250,9.2804,51.8163
9号井,201209,S2F2-S2F2,12,29.2,1035,8462,384,8078,9.3188,52.6241
9号井,201210,S2F2-S2F2,12,31,1014,8868,389,8479,9.3577,53.472
9号井,201211,S2F2-S2F2,12,29.17,1007,8521,382,8139,9.3959,54.2859
9号井,201212,S2F2-S2F2,12,30.22,982,9107,378,8729,9.4337,55.1588
9号井,201301,S2F2-S2F2,12,27.05,1254,7895,254,7641,9.4591,55.9229
9号井,201302,S2F2-S2F2,12,28,,8077,341,7736,9.4932,56.6965
9号井,201303,S2F2-S2F2,12,30.22,,9029,398,8631,9.533,57.5596
9号井,201304,S2F2-S2F2,12,30,,8790,398,8392,9.5728,58.3988
9号井,201305,S2F2-S2F2,12,30.21,,8889,432,8457,9.616,59.2445
9号井,201306,S2F2-S2F2,12,29.15,,8583,402,8181,9.6562,60.0626
9号井,201307,S2F2-S2F2,12,31,,8996,420,8576,9.6982,60.9202
9号井,201308,S2F2-S2F2,12,30.22,,8962,403,8559,9.7385,61.7761
9号井,201309,S2F2-S2F2,12,30,,8921,387,8534,9.7772,62.6295
9号井,201310,S2F2-S2F2,12,28.16,1220,8461,318,8143,9.809,63.4438
9号井,201311,S2F2-S2F2,12,29.21,1184,9399,403,8996,9.8493,64.3434
9号井,201312,S2F2-S2F2,12,31,1176,9501,416,9085,9.8909,65.2519
9号井,201401,S2F2-S2F2,12,31,1172,9560,464,9096,9.9373,66.1615
9号井,201402,S2F2-S2F2,12,28,1162,8584,425,8159,9.9798,66.9774
9号井,201403,S2F2-S2F2,12,30.2,1188,9467,452,9015,10.025,67.8789
9号井,201404,S2F2-S2F2,12,29.19,855,9310,362,8948,10.0612,68.7737
