井号,起始日期,层位,砂层组,层号,细分小层号,生产井段（m）,射孔厚度(m),终止日期（生产这个层段的末期时间）
49号井,2001-06-21,Es2x,F,2,,2633.70 - 2645.00,11.3,2001-07-16
49号井,2001-06-21,Es2x,F,2,,2653.30 - 2659.00,5.7,2001-07-16
49号井,2001-06-21,Es2x,F,2,,2663.20 - 2665.00,1.8,2001-07-16
49号井,2001-06-21,Es2x,F,2,,2668.20 - 2669.60,1.4,2001-07-16
49号井,2001-06-21,Es2x,F,3,,2672.00 - 2675.00,3,2001-07-16
49号井,2001-05-29,Es2x,F,2,,2633.70 - 2645.00,11.3,2001-06-13
49号井,2001-05-29,Es2x,F,2,,2653.30 - 2659.00,5.7,2001-06-13
49号井,2001-05-29,Es2x,F,2,,2663.20 - 2665.00,1.8,2001-06-13
49号井,2001-05-29,Es2x,F,2,,2668.20 - 2669.60,1.4,2001-06-13
49号井,2001-05-29,Es2x,F,3,,2672.00 - 2675.00,3,2001-06-13
49号井,2000-09-12,Es2x,F,2,,2653.30 - 2659.00,5.7,2001-05-24
49号井,2000-09-12,Es2x,F,2,,2663.20 - 2665.00,1.8,2001-05-24
49号井,2000-09-12,Es2x,F,2,,2668.20 - 2669.60,1.4,2001-05-24
49号井,2000-09-12,Es2x,F,3,,2672.00 - 2675.00,3,2001-05-24
50号井,2013-06-12,Es2x,F,2,,2724.00 - 2739.00,15,
50号井,2000-02-23,Es2x,F,2,,2724.00 - 2739.00,15,2013-06-11
50号井,2000-02-23,Es2x,F,2,,2745.00 - 2750.00,5,2013-06-11
51号井,2019-11-18,Es2x,F,2,,2634.90 - 2636.80,1.9,
51号井,2019-11-18,Es2x,F,2,,2638.80 - 2640.00,1.2,
51号井,2019-11-18,Es2x,F,5,,2690.80 - 2692.10,1.3,
51号井,2019-11-18,Es2x,F,5,,2698.80 - 2703.00,4.2,
51号井,2019-11-18,Es2x,F,5,,2707.00 - 2709.60,2.6,
51号井,2009-09-19,Es2x,F,5,,2698.80 - 2703.00,4.2,2019-11-10
51号井,2009-09-19,Es2x,F,5,,2707.00 - 2709.60,2.6,2019-11-10
52号井,2019-04-30,Es2x,F,2,2,2517.80 - 2519.90,2.1,
52号井,2019-04-30,Es2x,F,2,3,2523.80 - 2526.50,2.7,
52号井,2019-04-30,Es2x,F,5,,2589.10 - 2595.00,5.9,
52号井,2009-09-24,Es2x,F,5,,2589.10 - 2595.00,5.9,2019-04-29
53号井,2022-09-19,Es2x,F,2,1,2615.80 - 2620.00,4.2,
53号井,2022-09-19,Es2x,F,2,2,2629.00 - 2630.00,1,
53号井,2022-09-19,Es2x,F,2,2,2637.30 - 2638.30,1,
53号井,2022-09-19,Es2x,F,2,2,2641.30 - 2643.90,2.6,
53号井,2022-09-19,Es2x,F,2,3,2648.30 - 2652.00,3.7,
53号井,2017-12-16,Es2x,F,2,,2641.30 - 2643.90,2.6,2022-09-18
53号井,2017-12-16,Es2x,F,2,,2648.40 - 2652.00,3.6,2022-09-18
53号井,2009-10-07,Es2x,F,2,,2615.80 - 2620.00,4.2,2017-12-15
54号井,2022-06-07,Es2x,F,2,1,2824.80 - 2827.30,2.5,
54号井,2022-06-07,Es2x,F,5,1,2892.30 - 2896.60,4.3,
54号井,2013-08-24,Es2x,F,5,,2892.30 - 2896.60,4.3,2022-06-06
