井号,测点深度,井斜角,方位角
20号井,625.5,0.25,209.8
20号井,650.5,0.63,213.06
20号井,675.5,0.72,116.47
20号井,700.5,1.23,92.82
20号井,725.5,1.31,76.65
20号井,750.5,1.91,80.92
20号井,775.5,2.04,80.99
20号井,800.5,2.14,92.95
20号井,825.5,1.87,81.58
20号井,850.5,1.86,70.26
20号井,875.5,2.01,61.02
20号井,900.5,1.76,61.4
20号井,925.5,1.6,69.07
20号井,950.5,1.67,67.1
20号井,975.5,1.59,70.17
20号井,1000.5,1.43,75.17
20号井,1025.5,1.36,89.6
20号井,1050.5,1.44,84.62
20号井,1075.5,1.47,88.39
20号井,1100.5,1.4,84.32
20号井,1125.5,1.11,89.45
20号井,1150.5,1.06,102.57
20号井,1175.5,1.29,113.5
20号井,1200.5,0.93,128.59
20号井,1225.5,1.07,109.73
20号井,1250.5,1.24,95.37
20号井,1275.5,1.11,90.47
20号井,1300.5,2.33,94.29
20号井,1325.5,2.47,96.5
20号井,1350.5,2.82,94.37
20号井,1375.5,2.68,92.51
20号井,1400.5,2.23,80.96
20号井,1425.5,2.21,73.92
20号井,1450.5,2.33,71.14
20号井,1475.5,1.06,68.71
20号井,1500.5,0.96,56.89
20号井,1525.5,1.04,51.91
20号井,1550.5,1.13,60.94
20号井,1575.5,1.2,64.97
20号井,1600.5,1.32,63.36
20号井,1625.5,1.29,66.79
20号井,1650.5,1.12,72.7
20号井,1675.5,0.89,82.78
20号井,1700.5,0.9,75.75
20号井,1725.5,1.06,74.49
20号井,1750.5,0.87,68.38
20号井,1775.5,1.19,74.08
20号井,1800.5,1.89,81.46
20号井,1825.5,2.15,77.01
20号井,1850.5,2.16,78.3
20号井,1875.5,2.31,79.35
20号井,1900.5,2.32,80.22
20号井,1925.5,2.27,80.54
20号井,1950.5,2.19,78.82
20号井,1975.5,2.23,81.43
20号井,2000.5,2.33,80.03
20号井,2025.5,2.45,79.62
20号井,2050.5,2.38,80.87
20号井,2075.5,2.49,77.16
20号井,2100.5,2.55,77.45
20号井,2125.5,2.35,78.94
20号井,2150.5,2.25,79.15
20号井,2175.5,2.22,79.21
20号井,2200.5,2.28,78.02
20号井,2225.5,2.28,79.47
20号井,2250.5,2.22,80.39
20号井,2275.5,2.14,78.84
20号井,2300.5,2,74.61
20号井,2325.5,2.01,73.22
20号井,2350.5,1.12,77.6
20号井,2375.5,0.67,108.51
20号井,2400.5,2.62,232.83
20号井,2425.5,5.01,228.34
20号井,2450.5,9.38,220.91
20号井,2475.5,13.22,217.05
20号井,2500.5,16.08,211.08
20号井,2525.5,17.76,209.62
20号井,2550.5,20.64,203.53
20号井,2575.5,21.35,202.95
20号井,2600.5,21.66,203.12
20号井,2625.5,21.58,202.87
20号井,2650.5,22.1,202.89
20号井,2675.5,22.68,203.35
20号井,2700.5,22.93,204.23
20号井,2725.5,22.62,204.39
20号井,2750.5,22.07,205
21号井,299,0.71,246.88
21号井,324,0.71,165.47
21号井,349,0.71,186.77
21号井,374,1.11,149.35
21号井,399,1.32,151.51
21号井,424,1.29,149.86
21号井,449,1.15,141.57
21号井,474,1.14,145.59
21号井,499,1.14,164.2
21号井,524,1.22,167.8
21号井,549,1.38,172.21
21号井,574,0.58,171.16
21号井,599,0.57,157.84
21号井,624,0.59,173.55
21号井,649,0.78,164.37
21号井,674,0.82,174.5
21号井,699,0.94,166.91
21号井,724,1.02,145.48
21号井,749,1.02,150.38
21号井,774,0.92,139.9
21号井,799,0.97,147.83
21号井,824,1.03,150.94
21号井,849,1.05,156.68
21号井,874,0.92,155.14
21号井,899,0.92,153.16
21号井,924,0.75,158.72
21号井,949,0.66,160.93
21号井,974,0.62,164.32
21号井,999,0.64,163.49
21号井,1024,0.7,140.15
21号井,1049,0.95,113.84
21号井,1074,1.25,126.63
21号井,1099,1.15,115.7
21号井,1124,1.16,114.39
21号井,1149,0.82,116.38
21号井,1174,0.66,114.11
21号井,1199,0.64,110.1
21号井,1224,0.81,106.23
21号井,1249,0.94,112.96
21号井,1274,0.91,110.87
21号井,1299,0.46,265.91
21号井,1324,0.44,281.38
21号井,1349,0.67,271.35
21号井,1374,0.85,319.8
21号井,1399,0.86,303.12
21号井,1424,0.93,294.22
21号井,1449,1,293.76
21号井,1474,0.34,276.6
21号井,1499,0.65,230.69
21号井,1524,0.92,198.3
21号井,1549,0.98,201.48
21号井,1574,1.19,192.56
21号井,1599,1.16,185.59
21号井,1624,1.28,185.08
21号井,1649,1.39,181.83
21号井,1674,1.39,191.45
21号井,1699,1.62,195.43
21号井,1724,3.97,170.23
21号井,1749,6.67,164.72
21号井,1774,9.89,163.36
21号井,1799,12.99,162.21
21号井,1824,16.02,155.67
21号井,1849,19.25,154.43
21号井,1874,22.18,157.83
21号井,1899,24.48,161
21号井,1924,27.41,160.34
21号井,1949,28.85,160.15
21号井,1974,28.77,159.83
21号井,1999,29.05,159.69
21号井,2024,29.62,159.47
21号井,2049,29.47,158.95
21号井,2074,29.05,157.77
21号井,2099,27.9,157.95
21号井,2124,27.86,158.06
21号井,2149,27.61,157.24
21号井,2174,27.3,160.34
21号井,2199,27.22,161.21
21号井,2224,27.44,160.75
21号井,2249,28.16,160.87
21号井,2274,28.63,161.19
21号井,2299,29.01,160.68
21号井,2324,27.28,162.49
21号井,2349,27.12,163.07
21号井,2374,27.08,162.62
21号井,2399,27.27,162.43
21号井,2424,27.45,162.25
21号井,2449,27.59,162.08
21号井,2474,27.67,161.93
21号井,2499,27.7,162
21号井,2524,27.9,162.03
21号井,2549,28.39,161.33
21号井,2574,28.6,161.41
21号井,2599,28.69,161.34
21号井,2624,28.72,161.63
21号井,2649,28.85,161.6
21号井,2674,29.05,161.59
21号井,2699,29.4,161.83
21号井,2724,28.68,162.28
21号井,2749,27.13,160.87
21号井,2774,27.28,160.67
21号井,2799,27.49,161.17
21号井,2824,27.75,161.57
21号井,2849,28.41,161.35
21号井,2874,28.72,160.93
21号井,2899,28.56,160.49
21号井,2924,28.09,159.25
21号井,2949,27.36,158.83
21号井,2974,26.79,158.6
21号井,2999,26.7,159.34
22号井,280,0.203,204.788
22号井,305,0.211,124.26
22号井,330,0.189,147.048
22号井,355,0.347,56.883
22号井,380,0.413,51.852
22号井,405,0.471,120.165
22号井,430,0.367,94.034
22号井,455,0.244,138.383
22号井,480,0.247,209.539
22号井,505,0.238,86.39
22号井,530,0.215,104.671
22号井,555,0.29,108.85
22号井,580,0.237,105.851
22号井,605,0.287,182.279
22号井,630,0.288,167.697
22号井,655,0.311,32.856
22号井,680,0.413,4.846
22号井,705,0.517,202.246
22号井,730,0.593,186.429
22号井,755,0.658,176.605
22号井,780,0.699,175.256
22号井,805,0.724,167.744
22号井,830,0.673,175.239
22号井,855,0.7,184.404
22号井,880,0.764,190.224
22号井,905,0.805,178.299
22号井,930,0.861,175.688
22号井,955,0.601,153.639
22号井,980,0.586,85.558
22号井,1005,1.135,50.14
22号井,1030,4.754,36.83
22号井,1055,5.603,58.244
22号井,1080,6.438,62.074
22号井,1105,7.701,98.268
22号井,1130,11.004,104.598
22号井,1155,13.354,106.204
22号井,1180,16.51,101.314
22号井,1205,19.327,102.22
22号井,1230,20.823,105.513
22号井,1255,22.807,106.416
22号井,1280,25.0261,102.53
22号井,1305,27.245,102.14
22号井,1330,28.271,99.159
22号井,1355,28.552,97.925
22号井,1380,28.436,97.916
22号井,1405,28.601,96.678
22号井,1430,28.395,95.413
22号井,1455,28.354,94.968
22号井,1480,28.395,94.968
22号井,1505,28.436,94.364
22号井,1530,28.188,93.864
22号井,1555,28.478,93.406
22号井,1580,28.889,93.316
22号井,1605,28.104,93.023
22号井,1630,26.104,97.217
22号井,1655,26.22,99.61
22号井,1680,27.091,99.925
22号井,1705,27.153,99.595
22号井,1730,28.527,100.655
22号井,1755,28.978,100.889
22号井,1780,28.992,100.346
22号井,1805,29.031,100.398
22号井,1830,28.66,101.071
22号井,1855,28.889,101.528
22号井,1880,28.734,100.855
22号井,1905,28.638,97.459
22号井,1930,29.113,101.425
22号井,1955,30.327,102.814
22号井,1980,29.804,103.078
22号井,2005,29.308,102.787
22号井,2030,29.312,102.82
22号井,2055,30.125,101.733
22号井,2080,30.321,96.848
22号井,2105,30.507,92.988
22号井,2130,30.245,91.29
22号井,2155,30.814,91.897
22号井,2180,30.489,90.221
22号井,2205,30.241,89.918
22号井,2230,28.703,90.895
22号井,2255,27.888,98.74
22号井,2280,28.021,103.89
22号井,2305,28.148,103.566
22号井,2330,28.271,103.955
22号井,2355,28.403,104.165
22号井,2380,28.401,103.383
22号井,2405,28.623,103.236
22号井,2430,29.144,103.25
22号井,2455,29.506,103.207
22号井,2480,29.63,102.564
22号井,2505,29.834,102.28
22号井,2530,30.038,102.273
22号井,2555,29.913,102.305
22号井,2580,29.877,101.961
22号井,2605,29.919,101.933
22号井,2630,30.314,101.793
22号井,2655,30.076,101.911
22号井,2680,30.138,102.057
22号井,2705,30.622,101.819
22号井,2730,31.067,101.213
22号井,2755,31.07,101.081
22号井,2780,31.085,100.99
22号井,2805,31.413,100.663
22号井,2830,31.523,100.492
22号井,2855,31.656,100.237
22号井,2880,31.811,100.124
22号井,2905,31.925,99.709
22号井,2930,31.925,100.116
23号井,350,0.41,154.32
23号井,375,0.29,42.76
23号井,400,0.29,97.68
23号井,425,0.84,92.79
23号井,450,0.51,118.77
23号井,475,0.56,53.69
23号井,500,0.61,27.03
23号井,525,0.59,17.7
23号井,550,0.31,16.74
23号井,575,0.83,337.38
23号井,600,0.62,344.36
23号井,625,0.39,291.09
23号井,650,0.47,314.44
23号井,675,0.57,314.76
23号井,700,0.47,303.46
23号井,725,0.44,293.68
23号井,750,0.87,257.6
23号井,775,0.39,211.85
23号井,800,0.56,248.4
23号井,825,0.39,248.62
23号井,850,0.4,232.87
23号井,875,0.26,43.45
23号井,900,0.3,169.42
23号井,925,0.37,71.82
23号井,950,0.42,335.04
23号井,975,0.37,42.88
23号井,1000,0.27,165.16
23号井,1025,0.45,287.58
23号井,1050,0.31,293.05
23号井,1075,0.49,305.66
23号井,1100,0.38,312.87
23号井,1125,0.55,299.44
23号井,1150,0.73,303.92
23号井,1175,1.41,309.54
23号井,1200,1.45,323.03
23号井,1225,1.29,336.23
23号井,1250,1.45,335.13
23号井,1275,1.19,339.59
23号井,1300,0.99,339.97
23号井,1325,1.24,335.57
23号井,1350,1.23,338.79
23号井,1375,1.08,341.41
23号井,1400,1,319.92
23号井,1425,1.54,332.85
23号井,1450,1.38,327.18
23号井,1475,1.8,321.2
23号井,1500,1.77,320.46
23号井,1525,1.65,321.05
23号井,1550,1.3,312.99
23号井,1575,1.92,299.65
23号井,1600,4.18,323.02
23号井,1625,6.2,333.43
23号井,1650,8.76,333.24
23号井,1675,11.3,333.42
23号井,1700,13.77,334.7
23号井,1725,16.7,331.58
23号井,1750,18.79,339.38
23号井,1775,18.46,339.95
23号井,1800,18.03,339.8
23号井,1825,18.56,337.08
23号井,1850,17.82,336.76
23号井,1875,17.79,336.45
23号井,1900,19.41,334.33
23号井,1925,20.7,335.16
23号井,1950,20.61,334.8
23号井,1975,20.45,334.79
23号井,2000,20.07,334.64
23号井,2025,19.78,333.99
23号井,2050,19.9,333.7
23号井,2075,19.75,333.3
23号井,2100,19.63,333.76
23号井,2125,29.5,333.7
23号井,2150,19.03,333.06
23号井,2175,19.05,332.29
23号井,2200,19.06,331.95
23号井,2225,19.11,332.32
23号井,2250,18.41,335.29
23号井,2275,18.2,335.03
23号井,2300,17.81,334.73
23号井,2325,17.67,334.68
23号井,2350,17.6,334.68
23号井,2375,17.49,334.24
23号井,2400,17.41,333.78
23号井,2425,17.33,333.79
23号井,2450,17.21,333.17
23号井,2475,17.13,332.27
23号井,2500,17.08,331.73
23号井,2525,17.18,331.85
23号井,2550,17.15,331.34
23号井,2575,17.03,330.81
23号井,2600,16.71,330.49
23号井,2625,17.04,329.92
23号井,2650,17.32,329.76
23号井,2675,17.24,328.99
23号井,2700,17.33,328.15
23号井,2725,16.94,328.66
23号井,2750,16.63,328.9
24号井,346.1,1.113,152.859
24号井,371.1,1.141,123.218
24号井,396.1,1.402,111.656
24号井,421.1,1.271,92.107
24号井,446.1,1.081,78.34
24号井,471.1,0.975,40.201
24号井,496.1,0.786,350.613
24号井,521.1,1.073,311.577
24号井,546.1,1.065,307.585
24号井,571.1,1.217,293.263
24号井,596.1,1.806,276.917
24号井,621.1,2.08,272.651
24号井,646.1,2.296,261.054
24号井,671.1,2.478,260.886
24号井,696.1,2.253,251.808
24号井,721.1,2.543,246.379
24号井,746.1,2.207,242.856
24号井,771.1,1.964,247.459
24号井,796.1,1.758,246.952
24号井,821.1,1.974,244.785
24号井,846.1,1.879,242.148
24号井,871.1,1.824,247.961
24号井,896.1,1.748,240.942
24号井,921.1,1.901,245.6
24号井,946.1,1.75,239.336
24号井,971.1,1.628,239.701
24号井,996.1,1.659,241.14
24号井,1021.1,1.787,235.654
24号井,1046.1,2.175,229.798
24号井,1071.1,0.722,306.551
24号井,1096.1,0.723,304.673
24号井,1121.1,0.699,288.407
24号井,1146.1,0.697,250.797
24号井,1171.1,0.758,258.173
24号井,1196.1,0.702,241.195
24号井,1221.1,0.487,179.198
24号井,1246.1,0.543,185.487
24号井,1271.1,0.658,165.359
24号井,1296.1,0.751,145.382
24号井,1321.1,0.963,160.361
24号井,1346.1,0.98,179.682
24号井,1371.1,1.022,195.318
24号井,1396.1,1.231,191.947
24号井,1421.1,1.43,187.706
24号井,1446.1,1.563,182.037
24号井,1471.1,1.656,178.937
24号井,1496.1,1.553,170.848
24号井,1521.1,1.172,174.333
24号井,1546.1,1.271,174.757
24号井,1571.1,3.312,190.973
24号井,1596.1,5.39,192.969
24号井,1621.1,7.469,208.772
24号井,1646.1,9.952,217.503
24号井,1671.1,12.437,217.439
24号井,1696.1,16.146,219.306
24号井,1721.1,18.516,219.12
24号井,1746.1,21.626,219.41
24号井,1771.1,23.373,219.945
24号井,1796.1,23.813,220.066
24号井,1821.1,25.012,220.056
24号井,1846.1,24.944,220.021
24号井,1871.1,24.584,219.942
24号井,1896.1,25.474,220.186
24号井,1921.1,25.358,220.195
24号井,1946.1,25.12,220.196
24号井,1971.1,24.913,220.155
24号井,1996.1,24.669,220.089
24号井,2021.1,24.652,220.18
24号井,2046.1,24.757,220.603
24号井,2071.1,24.744,220.605
24号井,2096.1,24.553,220.584
24号井,2121.1,24.322,220.545
24号井,2146.1,24.048,220.363
24号井,2171.1,23.449,220.161
24号井,2196.1,24.221,220.234
24号井,2221.1,24.687,220.293
24号井,2246.1,24.806,220.256
24号井,2271.1,24.639,220.188
24号井,2296.1,25.269,220.565
24号井,2321.1,25.754,220.603
24号井,2346.1,25.809,220.541
24号井,2371.1,26.184,220.516
24号井,2396.1,26.332,220.51
24号井,2421.1,26.107,220.435
24号井,2446.1,24.627,220.273
24号井,2471.1,24.773,220.245
24号井,2496.1,24.773,220.179
24号井,2521.1,24.358,220.377
24号井,2546.1,24.212,220.391
24号井,2571.1,24.312,220.33
24号井,2596.1,24.362,220.297
24号井,2621.1,24.557,220.313
24号井,2646.1,24.807,220.266
24号井,2671.1,25.008,220.243
24号井,2696.1,25.199,220.16
24号井,2721.1,25.387,220.105
24号井,2746.1,25.684,220.123
24号井,2771.1,25.907,220.093
24号井,2796.1,26.211,220.11
24号井,2821.1,26.427,220.124
24号井,2846.1,26.462,220.081
24号井,2871.1,26.598,220.07
24号井,2896.1,26.599,220.066
24号井,2921.1,27.053,220.071
24号井,2946.1,26.619,220.089
25号井,285,0.89,237.83
25号井,310,0.37,91.38
25号井,335,0.69,178.53
25号井,360,0.44,187.11
25号井,385,0.51,220.77
25号井,410,0.52,250.05
25号井,435,0.4,284.09
25号井,460,0.32,273.69
25号井,485,0.43,337.69
25号井,510,0.74,188.95
25号井,535,1.93,187.73
25号井,560,2.14,185.88
25号井,585,2.42,182.39
25号井,610,1.98,187.36
25号井,635,2.51,192.3
25号井,660,1.46,194.02
25号井,685,1.19,196.54
25号井,710,1.33,192.04
25号井,735,1.38,202.86
25号井,760,1.6,215.95
25号井,785,1.61,227.82
25号井,810,1.7,232.66
25号井,835,1.51,226.09
25号井,860,1.48,225.59
25号井,885,1.42,220.12
25号井,910,1.22,220.03
25号井,935,1.65,220.79
25号井,960,1.75,225.7
25号井,985,1.66,227.55
25号井,1010,1.55,235.5
25号井,1035,1.73,230.49
25号井,1060,2.11,218.68
25号井,1085,2.47,218.15
25号井,1110,2.44,215.02
25号井,1135,1.9,207.31
25号井,1160,1.95,207.04
25号井,1185,2.08,178.89
25号井,1210,2.1,170.88
25号井,1235,2.14,168.69
25号井,1260,1.97,165.8
25号井,1285,2,166.99
25号井,1310,2.07,170.17
25号井,1335,1.89,169.22
25号井,1360,1.53,173.01
25号井,1385,2.01,171.43
25号井,1410,2.49,178.29
25号井,1435,2.67,177.84
25号井,1460,2.72,183.95
25号井,1485,2.99,201.2
25号井,1510,3.03,202.23
25号井,1535,2.84,208.15
25号井,1560,2.97,201.76
25号井,1585,2.92,199.62
25号井,1610,3,199.73
25号井,1635,3.71,204.39
25号井,1660,5.26,220.62
25号井,1685,7.25,238.42
25号井,1710,9.42,250.32
25号井,1735,12.23,255.91
25号井,1760,14.39,256.23
25号井,1785,16.49,262.73
25号井,1810,19.21,260.73
25号井,1835,21.82,259.64
25号井,1860,24.79,258.47
25号井,1885,26.26,256.36
25号井,1910,26.53,255.85
25号井,1935,26.54,255.06
25号井,1960,26.94,254.24
25号井,1985,26.49,253.99
25号井,2010,25.27,253.93
25号井,2035,24.94,254.23
25号井,2060,24.74,257.37
25号井,2085,24.51,259.02
25号井,2110,24.01,263.21
25号井,2135,23.21,268.79
25号井,2160,24.42,272.92
25号井,2185,25.51,275.11
25号井,2210,24.69,279.21
25号井,2235,23.94,281.89
25号井,2260,24.2,281.37
25号井,2285,24.44,281.15
25号井,2310,24.53,280.8
25号井,2335,25.16,280.8
25号井,2360,25.68,281.03
25号井,2385,26.47,280.95
25号井,2410,26.56,281.5
25号井,2435,26.55,281.57
25号井,2460,26.34,280.78
25号井,2485,26.4,281.09
25号井,2510,25.56,281.57
25号井,2535,24.22,281.95
25号井,2560,23.66,280.74
25号井,2585,23.72,280.87
25号井,2610,23.82,280.22
25号井,2635,24.25,279.53
25号井,2660,24.73,278.86
25号井,2685,24.83,278.96
25号井,2710,25.23,278.7
25号井,2735,25.83,278.25
25号井,2760,26.25,278.1
25号井,2785,26.44,277.91
25号井,2810,26.38,277.86
25号井,2835,26.58,277.86
26号井,200,0,0
26号井,228.43,0.56,195.29
26号井,257.1,0.41,225.09
26号井,285.73,0.44,201.49
26号井,314.22,0.5,283.59
26号井,342.72,0.6,200.29
26号井,371.36,0.6,146.69
26号井,400.19,0.4,165.09
26号井,428.87,0.49,138.79
26号井,457.47,0.62,158.19
26号井,486,0.81,173.89
26号井,514.71,0.95,181.49
26号井,543.27,1.02,187.69
26号井,571.7,0.95,198.79
26号井,600.25,1.04,199.69
26号井,628.52,1.19,208.99
26号井,656.57,1.22,208.29
26号井,685.29,1.13,209.09
26号井,713.34,1.26,217.09
26号井,741.28,1.23,223.09
26号井,769.88,0.95,240.19
26号井,798.39,0.77,229.59
26号井,826.94,0.72,236.19
26号井,855.56,0.4,236.39
26号井,884.41,0.05,205.79
26号井,912.99,0.18,187.89
26号井,941.6,0.26,162.39
26号井,970.44,0.32,148.69
26号井,998.91,0.49,148.39
26号井,1027.49,0.63,155.79
26号井,1056.1,0.73,166.49
26号井,1084.64,0.81,165.59
26号井,1113.27,0.89,181.49
26号井,1141.85,0.96,191.49
26号井,1170.31,0.98,207.29
26号井,1199.06,1.03,209.29
26号井,1227.61,1.04,217.09
26号井,1256.29,1.02,204.09
26号井,1284.9,0.9,237.79
26号井,1313.64,0.82,240.49
26号井,1342.12,0.76,247.49
26号井,1370.71,0.8,251.29
26号井,1398.98,0.72,249.79
26号井,1427.47,0.73,269.99
26号井,1455.47,0.4,267.09
26号井,1483.76,0.56,285.99
26号井,1512.13,0.43,248.79
26号井,1540.7,0.37,226.69
26号井,1569.41,0.39,215.89
26号井,1597.94,0.41,205.89
26号井,1626.46,0.15,208.19
26号井,1654.99,0.07,209.39
26号井,1683.44,0.54,202.89
26号井,1711.9,0.47,221.89
26号井,1740.49,0.72,255.19
26号井,1769.13,0.99,272.29
26号井,1797.16,1.49,288.09
26号井,1825.25,2.12,289.79
26号井,1853.85,2.42,298.49
26号井,1882.32,2.7,302.99
26号井,1910.97,3,307.09
26号井,1939.66,3.09,307.69
26号井,1968.24,2.95,310.29
26号井,1996.5,3.02,309.49
26号井,2025.02,2.93,310.89
26号井,2030,2.87,308.69
26号井,2039.53,0.64,279.39
26号井,2049.07,1.87,154.79
26号井,2059,3.57,146.39
26号井,2068.07,5.21,141.19
26号井,2077.6,7.2,144.99
26号井,2087.1,9.32,145.79
26号井,2096.62,12.14,145.39
26号井,2144.42,14.3,144.09
26号井,2173.22,14.7,146.29
26号井,2192.34,15.34,145.69
26号井,2213.59,15.81,144.19
26号井,2261.41,17.02,146.59
26号井,2309.19,18.4,144.89
26号井,2337.69,19.24,143.99
26号井,2385.49,20.46,147.59
26号井,2414.17,21.33,148.69
26号井,2461.97,22.65,146.89
26号井,2490.62,23.73,148.09
26号井,2538.3,26.15,151.99
26号井,2566.91,26.2,148.2
26号井,2614.62,29.26,149.19
26号井,2662.31,32.37,150.09
26号井,2709.99,29.26,149.89
26号井,2757.69,25.67,149.19
26号井,2805.4,21.49,148.39
26号井,2834.04,19.9,149.29
26号井,2861.59,17.43,150.29
26号井,2890.07,15.8,153.89
26号井,2918.57,13.92,156.29
26号井,2946.08,11.83,164.09
26号井,2993.7,10.75,168.29
26号井,3041.29,9.03,170.49
26号井,3088.96,9.81,169.59
26号井,3130.59,9.47,172.09
26号井,3138,8.93,172.19
27号井,303,0.816,201.223
27号井,328,0.731,243.494
27号井,353,0.698,335.289
27号井,378,0.743,329.7879
27号井,403,0.896,330.5549
27号井,428,0.864,351.77
27号井,453,0.896,27.6
27号井,478,0.919,34.536
27号井,503,0.853,18.314
27号井,528,1.095,355.205
27号井,553,0.938,349.4229
27号井,578,0.911,331.448
27号井,603,1.216,338.2369
27号井,628,1.21,343.1069
27号井,653,1.049,349.8649
27号井,678,0.899,346.2979
27号井,703,0.8,350.265
27号井,728,0.792,8.6339
27号井,753,1.025,357.427
27号井,778,0.847,0.3739
27号井,803,0.888,347.176
27号井,828,0.868,345.1969
27号井,853,0.889,342.575
27号井,878,1.023,347.51
27号井,903,1.062,345.926
27号井,928,1.213,329.4969
27号井,953,1.181,342.2849
27号井,978,1.129,341.508
27号井,1003,1.137,15.181
27号井,1028,1.156,34.18
27号井,1053,1.118,21.7389
27号井,1078,1.061,10.752
27号井,1103,0.952,29.441
27号井,1128,0.972,30.178
27号井,1153,0.916,4.1109
27号井,1178,1.728,354.178
27号井,1203,3.987,337.4589
27号井,1228,7.012,336.938
27号井,1253,9.977,334.1849
27号井,1278,12.477,333.1439
27号井,1303,15.482,340.597
27号井,1328,17.998,346.476
27号井,1353,20.909,344.787
27号井,1378,23.767,341.7539
27号井,1403,24.1,336.9339
27号井,1428,24.883,335.0349
27号井,1453,24.807,335.005
27号井,1478,24.453,334.4199
27号井,1503,24.382,333.9559
27号井,1528,25.434,335.7
27号井,1553,25.687,335.568
27号井,1578,25.548,335.282
27号井,1603,25.303,335.7059
27号井,1628,25.487,330.5
27号井,1653,25.988,328.246
27号井,1678,26.055,327.917
27号井,1703,26.382,328.0069
27号井,1728,26.027,328.356
27号井,1753,25.762,328.058
27号井,1778,25.307,327.727
27号井,1803,24.751,327.1479
27号井,1828,23.881,326.381
27号井,1853,22.937,324.7089
27号井,1878,23.531,322.599
27号井,1903,24.256,320.0279
27号井,1928,25.006,317.6749
27号井,1953,25.851,316.8139
27号井,1978,26.682,314.01
27号井,2003,27.24,310.092
27号井,2028,26.591,309.8449
27号井,2053,26.19,306.5399
27号井,2078,26.063,305.6579
27号井,2103,25.605,305.0879
27号井,2128,25.301,304.8309
27号井,2153,24.61,304.779
27号井,2178,24.24,304.762
27号井,2203,25.486,303.1169
27号井,2228,26.749,301.505
27号井,2253,26.602,300.945
27号井,2278,26.492,300.8859
27号井,2303,26.533,300.0999
27号井,2328,26.409,299.549
27号井,2353,26.028,299.0789
27号井,2378,26.001,298.7229
27号井,2403,25.712,298.4229
27号井,2428,25.389,298.0379
27号井,2453,25.259,297.78
27号井,2478,25.207,297.2299
27号井,2503,25.051,296.554
27号井,2528,25.013,296.0789
27号井,2553,25.245,295.7369
27号井,2578,25.107,295.4009
27号井,2603,24.894,295.174
27号井,2628,24.64,298.125
27号井,2653,24.82,298.0449
27号井,2678,24.63,297.611
27号井,2703,24.591,297.2059
27号井,2728,24.416,297.734
27号井,2753,24.484,298.001
27号井,2778,24.419,298.005
27号井,2803,24.392,297.88
28号井,350,0.284,340.827
28号井,375,0.79,309.846
28号井,400,0.849,322.117
28号井,425,0.887,339.507
28号井,450,0.971,347.429
28号井,475,1.257,350.538
28号井,500,1.328,4.183
28号井,525,1.353,18.583
28号井,550,1.086,28.685
28号井,575,1.099,40.793
28号井,600,1.255,52.081
28号井,625,1.087,62.214
28号井,650,1.319,57.252
28号井,675,1.18,54.096
28号井,700,1.099,54.771
28号井,725,1.072,55.466
28号井,750,1.02,42.014
28号井,775,1.282,40.521
28号井,800,1.289,24.42
28号井,825,1.275,16.181
28号井,850,1.341,16.508
28号井,875,1.343,16.998
28号井,900,1.357,16.966
28号井,925,1.155,14.656
28号井,950,1.089,16.575
28号井,975,0.941,12.64
28号井,1000,3.834,344.834
28号井,1025,7.099,341.27
28号井,1050,9.955,345.135
28号井,1075,12.505,344.544
28号井,1100,15.096,342.934
28号井,1125,18.128,338.941
28号井,1150,21.414,336.156
28号井,1175,23.363,334.347
28号井,1200,23.854,326.766
28号井,1225,23.578,317.483
28号井,1250,23.035,309.251
28号井,1275,23.324,305.007
28号井,1300,22.841,305.146
28号井,1325,22.855,305.98
28号井,1350,22.783,305.985
28号井,1375,22.613,305.916
28号井,1400,22.963,306.182
28号井,1425,22.897,305.867
28号井,1450,22.876,306.106
28号井,1475,22.898,306.842
28号井,1500,23.2,307.079
28号井,1525,22.76,306.57
28号井,1550,22.371,305.638
28号井,1575,22.546,305.572
28号井,1600,22.25,305.632
28号井,1625,22.354,305.759
28号井,1650,22.422,306.034
28号井,1675,22.66,305.971
28号井,1700,23.04,305.859
28号井,1725,23.236,306.174
28号井,1750,23.171,306.196
28号井,1775,22.146,305.76
28号井,1800,22.209,305.35
28号井,1825,22.037,305.701
28号井,1850,21.976,307.962
28号井,1875,21.798,307.647
28号井,1900,21.561,307.65
28号井,1925,21.322,307.35
28号井,1950,20.905,306.998
28号井,1975,21.725,309.578
28号井,2000,21.547,309.851
28号井,2025,21.667,309.586
28号井,2050,21.46,309.137
28号井,2075,21.405,308.805
28号井,2100,21.048,309.287
28号井,2125,20.76,309.643
28号井,2150,22.268,309.907
28号井,2175,22.578,309.119
28号井,2200,22.966,308.59
28号井,2225,23.293,308.063
28号井,2250,23.293,307.629
28号井,2275,23.47,306.954
28号井,2300,23.64,306.375
28号井,2325,23.568,306.558
28号井,2350,23.978,306.164
28号井,2375,23.53,307.285
28号井,2400,23.53,307.74
28号井,2425,23.604,307.305
28号井,2450,23.365,306.677
28号井,2475,22.739,308.197
28号井,2500,23.182,308.563
28号井,2525,23.033,308.778
28号井,2550,23.259,308.703
28号井,2575,22.947,308.609
28号井,2600,22.467,309.751
28号井,2625,22.774,309.113
28号井,2650,23.054,309.076
28号井,2675,23.242,308.855
28号井,2700,23.24,308.485
28号井,2725,23.158,307.804
28号井,2750,22.927,7.043
28号井,2775,22.927,306.358
29号井,311.3,0.7,65.45
